Designator,Package,Quantity,Designation,LCSC Part Number
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,22,1k,C21190
R23,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,220,C22962
